timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610650418475,27405,UpdateUser,202,,Load Test 1-140,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27405,0,0
1610650432869,13013,deleting user,404,,Load Test 1-284,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13013,0,0
1610650418490,27466,UpdateUser,202,,Load Test 1-141,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27466,0,0
1610650418490,27492,UpdateUser,202,,Load Test 1-139,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27491,0,0
1610650418521,27554,UpdateUser,202,,Load Test 1-138,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27554,0,0
1610650433038,13040,deleting user,404,,Load Test 1-280,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13039,0,0
1610650433053,13026,deleting user,404,,Load Test 1-281,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13026,0,0
1610650418552,27535,UpdateUser,202,,Load Test 1-135,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27535,0,0
1610650418613,27597,UpdateUser,202,,Load Test 1-224,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27597,0,0
1610650418597,27614,UpdateUser,202,,Load Test 1-71,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27614,0,0
1610650433161,13052,deleting user,404,,Load Test 1-279,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13052,0,0
1610650418643,27686,UpdateUser,202,,Load Test 1-137,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27685,0,0
1610650418658,27792,UpdateUser,202,,Load Test 1-133,text,true,,389,242,495,495,http://localhost:9092/user/update/1,27792,0,0
1610650433224,13228,deleting user,404,,Load Test 1-277,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13228,0,0
1610650433238,13216,deleting user,404,,Load Test 1-278,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13216,0,0
1610650433253,13203,deleting user,404,,Load Test 1-276,text,false,,376,208,495,495,http://localhost:9092/user/delete/,13203,0,0
